cg/cg_x86_64_aligned.out  :
section                                      size       addr
.text                                       40592    5242880
.rodata                                     16029    6291456
.rodata.cst8                                  272    6307488
.rodata.cst16                                  80    6307760
.rodata.___src_stdio_vfprintf_c_xdigits        16    6307840
.rodata.___src_errno_strerror_c_errid          89    6307856
.data                                        4360    7340032
.bss                                      1290752    8388608
.ldata                                          0    9687552
.eh_frame                                     640    9687552
.tdata                                       4096   10485760
.tbss                                        4096   11534336
.debug_str                                   7599          0
.debug_loc                                  65195          0
.debug_abbrev                               16141          0
.debug_info                                 58868          0
.debug_ranges                                4416          0
.debug_macinfo                                 74          0
.comment                                      225          0
.debug_line                                 29992          0
.debug_frame                                 5352          0
.debug_aranges                                240          0
.note.gnu.gold-version                         28          0
Total                                     1549152


